provider_id,provider_name,specialty,network_status,last_verified_date,accepting_patients,address,phone
PRV000177,Dr. Patricia Harris MD,Cardiology,In-Network,2025-07-24 04:16:58.940947,True,"3854 Cedar St, Atlanta, MN 55038",(447) 628-3249
PRV000178,Dr. William Martin MD,Internal Medicine,Out-of-Network,2025-06-22 10:22:59.940947,True,"5299 Oak St, Seattle, MN 55422",(248) 297-4209
PRV000179,Dr. Robert Thompson MD,Neurology,In-Network,2025-08-30 08:19:22.940947,False,"6424 Oak St, Minneapolis, MN 55932",(650) 498-3595
PRV000180,Dr. William Thomas MD,Internal Medicine,In-Network,2025-07-12 13:17:23.940947,True,"2655 Maple St, Phoenix, MN 55860",(346) 742-4234
PRV000181,Dr. Patricia Jackson MD,Oncology,In-Network,2025-08-08 00:02:13.940947,True,"9343 Main St, Phoenix, MN 55624",(903) 409-4275
PRV000182,Dr. Sarah White MD,Primary Care,Pending Verification,2025-05-16 02:18:37.940947,True,"5472 Maple St, Denver, MN 55365",(953) 700-4720
PRV000183,Dr. Linda Jackson MD,Psychiatry,In-Network,2025-08-07 16:25:35.940947,True,"9525 Main St, Seattle, MN 55823",(209) 702-3798
PRV000184,Dr. Robert Jackson MD,Internal Medicine,In-Network,2025-07-27 17:30:24.940947,True,"6731 Cedar St, Denver, MN 55571",(710) 825-8663
PRV000185,Dr. Patricia Thomas MD,Orthopedics,Pending Verification,2025-10-22 00:34:31.940947,False,"271 Oak St, Minneapolis, MN 55215",(837) 817-6332
PRV000186,Dr. Sarah Harris MD,Orthopedics,In-Network,2025-06-13 23:27:31.940947,False,"6274 Main St, Minneapolis, MN 55113",(394) 849-1365
PRV000187,Dr. James White MD,Endocrinology,In-Network,2025-07-18 20:34:47.940947,True,"9850 Park St, Seattle, MN 55597",(827) 730-7846
PRV000188,Dr. Jennifer Harris MD,Oncology,In-Network,2025-05-18 04:20:22.940947,True,"2161 Cedar St, Minneapolis, MN 55174",(490) 757-5884
PRV000189,Dr. James Garcia MD,Orthopedics,In-Network,2025-05-17 18:50:11.940947,True,"5267 Maple St, Chicago, MN 55667",(343) 365-5027
PRV000190,Dr. Robert Harris MD,Neurology,In-Network,2025-06-27 22:34:56.940947,False,"4479 Maple St, Chicago, MN 55506",(256) 982-4675
PRV000191,Dr. Sarah White MD,Internal Medicine,Pending Verification,2025-08-03 02:22:57.940947,True,"1080 Maple St, Boston, MN 55037",(726) 980-2133
PRV000192,Dr. James Thompson MD,Primary Care,Out-of-Network,2025-08-10 08:11:35.940947,False,"3807 Oak St, Seattle, MN 55711",(858) 223-6629
PRV000193,Dr. Sarah Martin MD,Dermatology,Out-of-Network,2025-06-02 19:46:36.940947,True,"3455 Park St, Dallas, MN 55368",(796) 636-6628
PRV000194,Dr. Patricia Thomas MD,Dermatology,Pending Verification,2025-09-08 12:43:24.940947,True,"4905 Main St, Chicago, MN 55314",(476) 404-2475
PRV000195,Dr. Michael Jackson MD,Orthopedics,Out-of-Network,2025-09-02 19:26:39.940947,True,"1897 Oak St, Atlanta, MN 55844",(878) 482-5194
PRV000196,Dr. William Harris MD,Pediatrics,Pending Verification,2025-07-01 03:38:28.940947,True,"7662 Main St, Boston, MN 55362",(788) 819-5033
PRV000197,Dr. William Anderson MD,Neurology,In-Network,2025-07-23 11:57:42.940947,True,"205 Park St, Boston, MN 55150",(993) 336-1535
PRV000198,Dr. Sarah Jackson MD,Pediatrics,In-Network,2025-10-06 22:30:55.940947,True,"1622 Park St, Seattle, MN 55536",(692) 637-6728
PRV000199,Dr. Robert Thomas MD,Pediatrics,In-Network,2025-05-27 12:31:42.940947,False,"3142 Oak St, Seattle, MN 55726",(507) 565-6099
PRV000200,Dr. Sarah Garcia MD,Psychiatry,In-Network,2025-07-03 05:43:17.940947,False,"1828 Main St, Denver, MN 55221",(585) 520-9554
